"","Time","Total","Voters","Activists"
"159","158","3.910618971","4.225107192","4.791206246"
"160","159","3.82887656","4.126796355","4.675206044"
"161","160","3.781069922","4.089871383","4.571485011"
"162","161","3.811301304","4.073505372","4.678068336"
"163","162","3.781693421","4.020376136","4.670619373"
"164","163","3.464890387","3.667479743","4.279350903"
"165","164","3.254732927","3.416063156","4.030718932"
"166","165","3.459178353","3.570769206","4.418335061"
"167","166","3.451207986","3.520007249","4.44117939"
"168","167","3.533986","3.614710785","4.608203509"
"169","168","3.339105995","3.40804589","4.324745441"
